	% 10/3/2018	
	% 3:30 PM	
	% SAMPLE D mass: 142.398 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 	
	811.946	93.248	25.680	25.817
	812.981	93.077	25.652	25.814
	814.019	93.042	25.657	25.803
	815.049	92.934	25.681	25.836
	816.079	92.925	25.652	25.809
	817.114	93.222	25.651	25.813
	818.143	93.392	25.678	25.807
	819.174	93.205	25.642	25.806
	820.204	93.010	25.674	25.823
	821.233	93.196	25.665	25.800
	822.254	92.929	25.669	25.812
	823.281	92.748	25.666	25.816
	824.313	93.079	25.684	25.816
	825.347	93.142	25.649	25.782
	826.400	93.195	25.662	25.816
	827.451	93.281	25.668	25.809
	828.477	93.040	25.659	25.804
	829.514	92.914	25.653	25.818
	830.550	93.033	25.662	25.803
	831.578	93.439	25.669	25.813
	832.621	93.353	25.655	25.820
	833.665	93.115	25.692	25.826
	834.698	93.174	25.670	25.829
	835.727	93.100	25.670	25.815
	836.755	93.320	25.676	25.808
	837.786	93.206	25.664	25.818
	838.817	93.183	25.675	25.823
	839.849	92.901	25.660	25.803
	840.877	93.100	25.665	25.795
	841.904	92.996	25.682	25.801
	842.925	93.105	25.660	25.785
	843.952	93.244	25.669	25.816
	844.982	93.313	25.658	25.816
	846.010	93.298	25.658	25.798
	847.030	93.171	25.644	25.800
	848.062	92.944	25.667	25.789
	849.093	93.028	25.665	25.811
	850.124	93.183	25.652	25.809
	851.144	93.068	25.647	25.809
	852.213	93.039	25.668	25.806
	853.244	92.939	25.662	25.827
	854.282	93.088	25.664	25.808
	855.317	93.304	25.676	25.779
	856.361	92.875	25.657	25.816
	857.385	93.196	25.670	25.797
	858.415	93.034	25.659	25.807
	859.457	93.126	25.656	25.799
	860.489	92.823	25.655	25.793
	861.514	93.161	25.645	25.798
	862.542	93.503	25.660	25.799
	863.566	93.007	25.675	25.811
	864.628	93.174	25.665	25.831
	865.684	93.332	25.657	25.779
	866.720	92.966	25.681	25.808
	867.754	93.230	25.660	25.796
	868.789	92.961	25.661	25.787
	869.821	93.212	25.666	25.812
	870.849	93.063	25.644	25.793
	871.881	93.099	25.680	25.792
	872.914	93.244	25.717	25.820
	873.946	93.286	25.776	25.863
	874.979	93.054	25.808	25.923
	876.007	93.244	25.899	26.079
	877.073	93.044	25.983	26.115
	878.100	92.876	25.997	26.159
	879.125	92.783	26.066	26.250
	880.161	93.177	26.154	26.306
	881.196	93.220	26.206	26.356
	882.234	93.106	26.248	26.425
	883.280	93.133	26.341	26.496
	884.319	93.129	26.408	26.574
	885.350	93.111	26.464	26.640
	886.415	93.341	26.529	26.691
	887.500	93.893	26.620	26.785
	888.534	93.171	26.656	26.822
	889.564	93.256	26.731	26.885
	890.593	93.848	26.787	26.930
	891.626	93.248	26.842	26.971
	892.660	93.025	26.915	27.052
	893.702	93.014	26.947	27.105
	894.738	92.994	26.980	27.146
	895.773	93.226	27.043	27.200
	896.799	92.989	27.108	27.257
	897.828	93.096	27.155	27.293
	898.860	93.111	27.175	27.323
	899.891	93.182	27.224	27.358
	900.925	92.959	27.254	27.396
	901.954	93.181	27.267	27.450
	902.977	93.328	27.325	27.482
	904.010	93.043	27.374	27.506
	905.078	92.851	27.377	27.528
	906.111	93.070	27.409	27.558
	907.141	92.957	27.424	27.582
	908.173	93.101	27.473	27.613
	909.199	93.096	27.488	27.632
	910.226	92.965	27.520	27.660
	911.253	93.091	27.545	27.670
	912.281	93.131	27.556	27.700
	913.315	92.920	27.598	27.716
	914.351	92.461	27.582	27.732
	915.382	92.829	27.606	27.737
	916.413	92.774	27.627	27.758
	917.450	92.416	27.614	27.782
	918.481	92.686	27.659	27.788
	919.513	92.457	27.683	27.804
	920.546	92.709	27.687	27.843
	921.575	92.954	27.693	27.846
	922.606	92.614	27.719	27.848
	923.638	92.554	27.698	27.857
	924.673	92.530	27.739	27.854
	925.711	92.318	27.755	27.892
	926.741	92.474	27.741	27.895
	927.782	92.424	27.756	27.894
	928.823	92.407	27.739	27.898
	929.857	92.532	27.778	27.906
	930.890	92.176	27.760	27.932
	931.924	92.355	27.782	27.940
	932.973	92.279	27.784	27.928
	934.004	92.377	27.786	27.945
	935.033	92.341	27.803	27.945
	936.066	92.007	27.792	27.956
	937.100	92.456	27.832	27.945
	938.127	92.134	27.824	27.964
	939.156	91.869	27.810	27.971
	940.191	92.020	27.831	27.974
	941.223	91.897	27.828	27.987
	942.251	91.653	27.836	27.989
	943.283	91.563	27.853	27.988
	944.316	91.506	27.845	27.995
	945.350	91.539	27.848	28.004
	946.385	91.565	27.852	28.000
	947.420	91.540	27.856	28.011
	948.457	91.284	27.854	27.998
	949.501	91.235	27.866	28.001
	950.531	91.550	27.853	27.998
	951.567	90.997	27.863	28.025
	952.602	91.163	27.887	28.003
	953.643	90.958	27.876	28.033
	954.676	91.000	27.870	28.022
	955.717	90.557	27.879	28.014
	956.765	90.990	27.877	28.023
	957.792	90.805	27.859	28.024
	958.814	91.082	27.874	28.007
	959.841	90.528	27.883	28.026
	960.874	90.513	27.892	28.038
	961.898	90.465	27.875	28.030
	962.925	90.790	27.888	28.035
	963.954	90.613	27.895	28.044
	964.996	91.047	27.896	28.034
	966.049	90.746	27.895	28.027
	967.074	90.487	27.890	28.041
	968.102	90.666	27.873	28.035
	969.130	90.148	27.888	28.020
	970.167	90.016	27.889	28.055
	971.197	90.240	27.895	28.046
	972.224	90.521	27.910	28.042
	973.255	90.392	27.869	28.040
	974.285	90.588	27.894	28.066
	975.315	90.369	27.910	28.033
	976.349	90.243	27.900	28.034
	977.376	90.505	27.898	28.033
	978.400	90.397	27.909	28.051
	979.427	89.850	27.917	28.056
	980.455	90.060	27.915	28.026
	981.481	90.148	27.913	28.055
	982.522	90.381	27.887	28.051
	983.552	90.298	27.894	28.050
	984.582	89.824	27.895	28.069
	985.612	90.415	27.877	28.056
	986.642	90.179	27.898	28.058
	987.679	90.146	27.932	28.076
	988.715	89.734	27.897	28.043
	989.747	89.856	27.902	28.075
	990.781	89.530	27.898	28.063
	991.814	89.694	27.897	28.040
	992.857	89.591	27.906	28.043
	993.885	89.588	27.924	28.040
	994.921	89.007	27.912	28.046
	995.966	89.283	27.901	28.050
	996.998	89.331	27.919	28.042
	998.030	89.073	27.909	28.041
	999.060	89.211	27.900	28.064
	1000.088	89.293	27.908	28.074
	1001.123	89.213	27.902	28.072
	1002.157	88.944	27.914	28.052
	1003.196	89.001	27.903	28.051
	1004.240	88.678	27.920	28.041
	1005.290	89.221	27.895	28.048
	1006.320	88.724	27.921	28.053
	1007.349	88.486	27.918	28.050
	1008.376	88.857	27.903	28.061
	1009.411	89.071	27.905	28.066
	1010.466	88.422	27.895	28.080
	1011.495	89.338	27.931	28.046
	1012.524	88.943	27.916	28.070
	1013.554	88.275	27.904	28.074
	1014.598	88.409	27.902	28.054
	1015.637	88.121	27.918	28.067
	1016.670	88.238	27.934	28.059
	1017.701	87.784	27.919	28.064
	1018.724	88.443	27.914	28.055
	1019.763	88.885	27.950	28.058
	1020.793	88.630	27.940	28.036
	1021.829	88.474	27.934	28.056
	1022.876	87.307	27.912	28.053
	1023.915	87.966	27.947	28.058
	1024.946	86.795	27.906	28.048
	1025.975	87.117	27.917	28.054
	1027.008	86.858	27.919	28.042
	1028.050	86.333	27.925	28.053
	1029.097	87.395	27.929	28.055
	1030.129	86.490	27.917	28.061
	1031.163	86.112	27.930	28.073
	1032.207	86.620	27.915	28.045
	1033.255	85.867	27.926	28.069
	1034.297	86.110	27.909	28.051
	1035.334	86.461	27.917	28.051
	1036.379	86.575	27.904	28.044
	1037.413	86.160	27.909	28.072
	1038.451	86.661	27.904	28.064
	1039.481	86.791	27.911	28.051
	1040.520	86.593	27.933	28.057
	1041.569	86.821	27.934	28.057
	1042.623	87.045	27.910	28.049
	1043.654	86.090	27.908	28.053
	1044.694	85.908	27.906	28.058
	1045.734	86.388	27.918	28.056
	1046.766	86.050	27.929	28.045
	1047.802	85.769	27.909	28.049
	1048.838	86.144	27.888	28.054
	1049.868	86.223	27.906	28.070
	1050.905	86.158	27.935	28.034
	1051.944	86.051	27.897	28.058
	1053.040	85.340	27.914	28.060
	1054.143	84.898	27.920	28.069
	1055.173	85.018	27.913	28.074
	1056.207	85.162	27.909	28.053
	1057.240	84.558	27.930	28.056
	1058.278	84.167	27.902	28.038
	1059.308	85.086	27.918	28.064
	1060.338	85.307	27.900	28.040
	1061.369	85.158	27.917	28.049
	1062.399	84.597	27.909	28.030
	1063.435	84.419	27.915	28.062
	1064.465	84.387	27.905	28.046
	1065.506	84.232	27.904	28.035
	1066.533	84.464	27.910	28.050
	1067.559	85.147	27.916	28.045
	1068.589	84.892	27.923	28.057
	1069.623	84.623	27.897	28.048
	1070.652	84.221	27.908	28.038
	1071.690	84.743	27.923	28.053
	1072.720	84.745	27.912	28.044
	1073.759	84.426	27.924	28.034
	1074.789	84.410	27.921	28.040
	1075.829	84.528	27.912	28.053
	1076.862	84.493	27.903	28.045
	1077.894	83.763	27.889	28.025
	1078.928	84.616	27.895	28.052
	1079.963	85.029	27.894	28.033
	1080.994	84.564	27.895	28.055
	1082.046	84.721	27.902	28.028
	1083.080	84.563	27.918	28.039
	1084.115	84.293	27.900	28.060
	1085.152	83.656	27.903	28.040
	1086.189	82.940	27.897	28.058
	1087.213	82.774	27.903	28.043
	1088.241	83.209	27.912	28.048
	1089.275	83.041	27.904	28.053
	1090.311	83.038	27.907	28.041
	1091.347	83.364	27.919	28.057
	1092.390	82.751	27.906	28.035
	1093.421	83.092	27.909	28.038
	1094.453	83.199	27.928	28.057
	1095.485	83.133	27.932	28.034
	1096.510	83.511	27.918	28.046
	1097.541	83.026	27.908	28.038
	1098.578	82.918	27.919	28.045
	1099.606	82.420	27.913	28.054
	1100.638	83.352	27.881	28.026
	1101.666	83.197	27.905	28.024
	1102.698	82.802	27.921	28.041
	1103.734	82.798	27.897	28.053
	1104.767	82.773	27.896	28.016
	1105.797	82.657	27.914	28.013
	1106.843	82.247	27.912	28.044
	1107.866	82.233	27.908	28.030
	1108.905	82.307	27.908	28.041
	1109.930	82.040	27.933	28.050
	1110.961	81.733	27.933	28.053
	1111.989	81.263	27.922	28.042
	1113.011	81.965	27.885	28.048
	1114.040	82.404	27.889	28.057
	1115.077	82.448	27.916	28.040
	1116.104	82.301	27.903	28.035
	1117.131	82.233	27.917	28.054
	1118.163	81.855	27.902	28.024
	1119.190	81.839	27.909	28.040
	1120.223	82.241	27.914	28.039
	1121.255	81.896	27.919	28.025
	1122.282	81.468	27.916	28.044
	1123.322	80.689	27.909	28.017
	1124.353	82.078	27.902	28.019
	1125.396	82.342	27.897	28.036
	1126.435	82.116	27.904	28.049
	1127.463	81.857	27.906	28.025
	1128.506	81.593	27.904	28.036
	1129.541	81.379	27.916	28.023
	1130.576	81.102	27.915	28.057
	1131.618	81.263	27.914	28.028
	1132.657	81.474	27.915	28.026
	1133.691	81.419	27.905	28.032
	1134.728	81.254	27.904	28.047
	1135.764	80.949	27.908	28.038
	1136.800	80.649	27.908	28.016
	1137.831	80.634	27.901	28.010
	1138.864	80.529	27.911	28.033
	1139.896	80.444	27.884	28.043
	1140.942	80.548	27.907	28.028
	1141.973	80.983	27.929	28.054
	1143.004	80.965	27.923	28.032
	1144.055	80.946	27.925	28.048
	1145.081	80.677	27.908	28.032
	1146.113	80.429	27.894	28.024
	1147.147	80.302	27.905	28.009
	1148.179	80.165	27.901	28.012
	1149.213	79.847	27.921	28.020
	1150.249	79.094	27.894	28.011
	1151.283	79.002	27.906	28.018
	1152.320	79.267	27.908	28.013
	1153.355	79.322	27.921	28.039
	1154.394	79.262	27.897	28.017
	1155.426	79.172	27.889	28.006
	1156.462	79.154	27.888	28.046
	1157.508	79.099	27.904	28.046
	1158.546	78.729	27.894	28.047
	1159.596	78.434	27.918	28.019
	1160.666	79.470	27.901	28.022
	1161.699	79.376	27.917	28.042
	1162.741	79.112	27.916	28.022
	1163.774	79.233	27.898	28.023
	1164.804	79.394	27.884	28.018
	1165.834	78.996	27.908	28.032
	1166.871	78.780	27.904	28.014
	1167.907	78.337	27.910	28.024
	1168.938	77.659	27.913	28.041
	1169.981	78.661	27.917	28.013
	1171.024	78.831	27.902	28.040
	1172.059	78.920	27.916	28.024
	1173.087	78.672	27.900	28.020
	1174.117	78.290	27.870	27.998
	1175.155	78.102	27.883	27.997
	1176.189	77.987	27.887	28.021
	1177.249	77.841	27.897	27.989
	1178.281	77.971	27.896	27.996
	1179.311	78.043	27.902	28.011
	1180.334	78.250	27.906	28.033
	1181.367	78.275	27.901	28.020
	1182.398	78.335	27.891	27.998
	1183.430	78.253	27.908	28.014
	1184.465	78.095	27.895	28.016
	1185.517	77.753	27.919	28.010
	1186.569	77.688	27.896	28.011
	1187.606	77.702	27.901	28.003
	1188.638	77.557	27.906	28.032
	1189.673	77.312	27.907	28.018
	1190.709	77.053	27.891	28.001
	1191.748	77.024	27.900	28.034
	1192.783	77.062	27.892	28.027
	1193.816	76.907	27.899	28.014
	1194.849	77.229	27.896	28.027
	1195.885	77.262	27.881	27.996
	1196.913	77.042	27.878	28.026
	1197.945	77.117	27.890	27.999
	1198.979	77.099	27.891	28.013
	1200.008	76.908	27.892	28.024
	1201.035	76.739	27.883	28.009
	1202.068	77.092	27.896	28.008
	1203.102	77.362	27.908	28.012
	1204.141	77.229	27.893	28.012
	1205.173	76.934	27.885	28.015
	1206.205	76.673	27.902	28.023
	1207.237	76.738	27.874	28.008
	1208.276	76.662	27.906	28.008
	1209.311	76.628	27.900	28.003
	1210.343	76.609	27.902	28.002
	1211.376	76.367	27.900	28.002
	1212.411	76.436	27.893	28.014
	1213.445	76.594	27.896	28.015
	1214.479	76.688	27.906	28.011
	1215.512	76.442	27.916	27.996
	1216.547	76.379	27.886	28.006
	1217.570	76.507	27.896	28.002
	1218.602	76.476	27.859	28.022
	1219.631	76.375	27.911	28.008
	1220.660	76.198	27.896	27.993
	1221.696	76.092	27.886	28.008
	1222.736	75.682	27.895	27.993
	1223.766	75.595	27.902	28.002
	1224.795	75.509	27.883	28.012
	1225.826	75.067	27.887	28.010
	1226.856	74.665	27.906	27.990
	1227.905	75.136	27.894	28.004
	1228.932	75.800	27.891	28.006
	1229.977	75.925	27.910	28.010
	1231.026	75.693	27.890	27.997
	1232.062	75.332	27.899	27.987
	1233.092	75.194	27.885	27.995
	1234.120	75.059	27.880	27.996
	1235.151	74.847	27.888	28.008
	1236.172	74.754	27.885	28.000
	1237.205	74.719	27.892	28.008
	1238.230	74.794	27.892	27.995
	1239.259	74.864	27.880	28.008
	1240.291	74.839	27.894	28.008
	1241.325	74.737	27.893	27.990
	1242.359	74.484	27.871	27.993
	1243.387	74.233	27.896	27.995
	1244.411	74.030	27.905	27.982
	1245.439	74.040	27.891	27.990
	1246.469	74.392	27.891	27.974
	1247.498	74.497	27.891	27.990
	1248.531	74.423	27.875	27.979
	1249.557	74.250	27.893	27.979
	1250.586	74.171	27.879	27.982
	1251.624	74.144	27.875	27.985
	1252.657	74.240	27.904	27.996
	1253.689	74.216	27.870	27.995
	1254.721	74.527	27.892	27.987
	1255.752	74.145	27.877	27.973
	1256.778	74.349	27.889	27.994
	1257.821	74.339	27.901	27.987
	1258.857	74.249	27.879	27.987
	1259.884	74.120	27.886	27.975
	1260.927	74.006	27.889	27.967
	1261.971	73.984	27.870	27.994
	1263.007	73.941	27.881	27.976
	1264.036	73.960	27.884	27.985
	1265.075	73.870	27.883	27.990
	1266.117	73.770	27.896	27.953
	1267.147	73.778	27.871	27.981
	1268.181	73.708	27.893	27.996
	1269.217	73.603	27.894	27.976
	1270.256	73.481	27.869	27.980
	1271.282	73.379	27.885	27.992
	1272.306	73.476	27.877	27.996
	1273.333	73.424	27.891	27.985
	1274.359	73.277	27.875	27.980
	1275.391	73.134	27.860	27.996
	1276.416	72.944	27.888	27.972
	1277.452	72.781	27.887	27.964
	1278.485	72.569	27.879	27.952
	1279.536	72.388	27.888	27.972
	1280.564	72.312	27.880	27.978
	1281.598	72.298	27.877	27.978
	1282.630	72.365	27.877	27.982
	1283.671	72.371	27.869	28.000
	1284.742	72.520	27.874	27.973
	1285.776	72.626	27.871	27.966
	1286.808	72.580	27.861	27.957
	1287.834	72.436	27.889	27.970
	1288.864	72.360	27.880	27.971
	1289.905	72.269	27.862	27.957
	1290.947	72.060	27.881	27.963
	1291.984	72.190	27.892	27.949
	1293.028	72.368	27.876	27.962
	1294.059	72.411	27.876	27.985
	1295.092	72.307	27.866	27.946
	1296.126	72.165	27.852	27.944
	1297.163	72.021	27.867	27.961
	1298.195	71.896	27.883	27.959
	1299.251	71.818	27.861	27.950
	1300.294	71.794	27.855	27.945
	1301.328	71.754	27.876	27.985
	1302.354	71.611	27.859	27.945
	1303.385	71.413	27.876	27.982
	1304.429	71.199	27.864	27.974
	1305.458	71.004	27.887	27.944
	1306.497	70.784	27.859	27.951
	1307.528	70.543	27.880	27.961
	1308.553	70.821	27.860	27.973
	1309.584	71.083	27.873	27.947
	1310.615	71.181	27.863	27.941
	1311.653	71.272	27.862	27.960
	1312.686	71.354	27.877	27.941
	1313.723	71.423	27.863	27.967
	1314.754	71.404	27.863	27.967
	1315.806	71.246	27.880	27.961
	1316.857	71.091	27.874	27.941
	1317.897	70.922	27.873	27.952
	1318.933	70.770	27.842	27.940
	1319.964	70.630	27.860	27.974
	1320.996	70.669	27.862	27.953
	1322.024	70.834	27.852	27.947
	1323.073	71.015	27.895	27.955
	1324.111	71.048	27.867	27.967
	1325.154	70.989	27.851	27.945
	1326.187	70.902	27.866	27.963
	1327.227	70.919	27.869	27.936
	1328.264	70.877	27.871	27.940
	1329.299	70.776	27.855	27.968
	1330.332	70.614	27.858	27.957
	1331.365	70.436	27.864	27.944
	1332.400	70.265	27.884	27.943
	1333.433	70.186	27.868	27.946
	1334.465	70.223	27.863	27.943
	1335.499	70.233	27.873	27.965
	1336.550	70.186	27.869	27.934
	1337.583	70.170	27.867	27.949
	1338.615	70.137	27.851	27.947
	1339.640	70.033	27.853	27.960
	1340.678	69.868	27.868	27.949
	1341.710	69.706	27.854	27.932
	1342.746	69.589	27.875	27.937
	1343.782	69.515	27.864	27.946
	1344.815	69.413	27.872	27.971
	1345.866	69.195	27.850	27.946
	1346.898	68.986	27.872	27.945
	1347.934	69.248	27.866	27.940
	1348.969	69.348	27.854	27.945
	1350.004	69.302	27.832	27.941
	1351.037	69.284	27.859	27.920
	1352.069	69.206	27.872	27.937
	1353.105	68.949	27.854	27.946
	1354.150	68.744	27.873	27.940
	1355.190	68.912	27.874	27.948
	1356.211	68.975	27.856	27.933
	1357.242	68.967	27.850	27.939
	1358.268	68.932	27.846	27.957
	1359.305	68.799	27.858	27.941
	1360.330	68.736	27.856	27.948
	1361.356	68.671	27.848	27.926
	1362.379	68.599	27.848	27.949
	1363.416	68.527	27.859	27.935
	1364.443	68.470	27.860	27.935
	1365.476	68.305	27.844	27.942
	1366.505	68.094	27.839	27.948
	1367.533	68.030	27.863	27.952
	1368.561	68.294	27.843	27.950
	1369.647	68.377	27.849	27.941
	1370.665	68.316	27.845	27.942
	1371.696	68.133	27.857	27.942
	1372.722	68.007	27.847	27.941
	1373.756	67.859	27.854	27.919
	1374.784	67.748	27.842	27.936
	1375.817	67.594	27.857	27.928
	1376.846	67.295	27.850	27.914
	1377.873	67.039	27.847	27.937
	1378.901	67.051	27.844	27.920
	1379.933	67.168	27.864	27.925
	1380.967	67.247	27.843	27.933
