	% 10/3/2018	
	% 8:20 AM
	% SAMPLE A mass: 91.767 +/- .001 g
	% CALORIMETER mass: 318.3 +/- .05 g	
	%Time (s) 	Water Temperature (C) 	Sample Temp (C) 
	185.744	93.380	22.174	22.323
	186.764	93.079	22.180	22.316
	187.783	93.190	22.189	22.328
	188.804	93.128	22.171	22.312
	189.824	93.162	22.193	22.331
	190.844	93.251	22.179	22.301
	191.865	93.244	22.172	22.391
	192.890	93.179	22.197	22.307
	193.919	93.189	22.201	22.311
	194.944	92.442	22.184	22.321
	195.968	92.689	22.189	22.316
	196.991	92.813	22.197	22.297
	198.014	92.937	22.192	22.300
	199.035	92.681	22.196	22.312
	200.053	92.888	22.179	22.305
	201.073	92.936	22.172	22.300
	202.093	92.819	22.196	22.317
	203.113	92.969	22.184	22.313
	204.134	93.210	22.184	22.304
	205.154	93.029	22.189	22.319
	206.173	92.913	22.187	22.312
	207.195	92.675	22.191	22.326
	208.214	92.931	22.178	22.303
	209.236	92.958	22.196	22.325
	210.254	93.131	22.212	22.315
	211.292	93.078	22.172	22.316
	212.312	93.085	22.201	22.303
	213.333	93.114	22.210	22.297
	214.349	93.137	22.179	22.300
	215.374	93.295	22.190	22.318
	216.389	93.392	22.194	22.315
	217.412	93.398	22.189	22.319
	218.431	93.200	22.204	22.299
	219.450	93.183	22.192	22.321
	220.468	93.177	22.190	22.322
	221.489	93.170	22.179	22.309
	222.513	93.158	22.212	22.302
	223.532	93.137	22.194	22.319
	224.552	93.123	22.193	22.323
	225.577	93.021	22.216	22.307
	226.598	93.082	22.187	22.330
	227.622	93.081	22.202	22.311
	228.641	93.200	22.172	22.322
	229.663	93.280	22.189	22.323
	230.680	93.306	22.186	22.327
	231.702	93.081	22.216	22.308
	232.722	93.333	22.199	22.306
	233.744	93.081	22.199	22.334
	234.785	93.332	22.194	22.309
	235.811	93.162	22.194	22.311
	236.835	93.146	22.195	22.324
	237.853	93.384	22.189	22.301
	238.875	93.300	22.199	22.293
	239.894	93.221	22.229	22.306
	240.914	93.268	22.339	22.350
	241.935	93.168	22.458	22.387
	242.954	93.151	22.577	22.462
	243.982	93.133	22.719	22.548
	245.000	93.109	22.881	22.828
	246.030	93.158	22.963	22.881
	247.050	93.163	23.059	22.982
	248.076	93.178	23.157	23.226
	249.097	93.236	23.258	23.342
	250.124	93.343	23.354	23.507
	251.142	93.165	23.465	23.666
	252.160	93.169	23.608	23.700
	253.183	93.116	23.772	23.812
	254.204	93.193	23.863	23.929
	255.225	93.203	23.960	24.002
	256.246	93.126	24.043	24.080
	257.268	93.060	24.171	24.158
	258.289	93.083	24.224	24.260
	259.321	93.261	24.333	24.366
	260.344	93.123	24.422	24.424
	261.364	93.232	24.502	24.511
	262.390	93.151	24.599	24.616
	263.414	93.118	24.673	24.691
	264.436	93.133	24.757	24.759
	265.454	93.100	24.813	24.840
	266.474	93.121	24.880	24.933
	267.492	93.204	24.963	25.000
	268.515	93.202	25.024	25.076
	269.534	93.183	25.085	25.144
	270.552	93.204	25.142	25.200
	271.574	93.113	25.208	25.272
	272.597	93.198	25.249	25.355
	273.625	93.102	25.327	25.382
	274.656	93.214	25.381	25.440
	275.686	93.143	25.451	25.482
	276.716	93.173	25.497	25.554
	277.748	93.080	25.521	25.606
	278.780	93.104	25.590	25.666
	279.826	93.130	25.635	25.724
	280.896	93.063	25.703	25.769
	281.931	93.145	25.740	25.806
	282.961	93.147	25.779	25.849
	283.993	93.180	25.793	25.883
	285.027	93.187	25.853	25.932
	286.056	93.070	25.866	25.998
	287.081	93.231	25.922	26.027
	288.119	93.186	25.966	26.066
	289.154	93.269	25.983	26.096
	290.185	93.166	26.035	26.125
	291.211	93.103	26.070	26.172
	292.246	93.182	26.102	26.219
	293.274	93.133	26.119	26.209
	294.307	93.168	26.165	26.255
	295.330	93.116	26.176	26.282
	296.358	93.187	26.218	26.316
	297.390	93.192	26.232	26.341
	298.424	93.311	26.259	26.365
	299.456	93.173	26.277	26.399
	300.497	93.195	26.313	26.419
	301.534	93.318	26.339	26.450
	302.565	93.133	26.366	26.468
	303.597	93.142	26.381	26.480
	304.635	93.252	26.431	26.487
	305.665	93.179	26.418	26.535
	306.699	93.184	26.406	26.552
	307.733	93.218	26.467	26.563
	308.766	93.278	26.479	26.577
	309.798	93.297	26.489	26.617
	310.827	93.232	26.510	26.643
	311.858	93.309	26.532	26.638
	312.887	93.294	26.550	26.647
	313.916	93.172	26.554	26.667
	314.962	93.261	26.569	26.676
	315.990	93.248	26.589	26.700
	317.013	93.302	26.579	26.699
	318.053	93.270	26.592	26.704
	319.080	93.309	26.620	26.743
	320.108	93.304	26.617	26.741
	321.139	93.240	26.631	26.768
	322.189	93.201	26.664	26.772
	323.219	93.308	26.668	26.774
	324.255	93.324	26.674	26.802
	325.286	93.331	26.695	26.807
	326.318	93.264	26.706	26.823
	327.349	93.297	26.692	26.839
	328.381	93.328	26.715	26.835
	329.410	93.184	26.719	26.825
	330.444	93.247	26.726	26.867
	331.481	93.296	26.743	26.870
	332.521	93.202	26.748	26.874
	333.556	93.246	26.742	26.878
	334.592	93.253	26.756	26.861
	335.626	93.336	26.751	26.896
	336.659	93.213	26.772	26.910
	337.695	93.257	26.768	26.884
	338.730	93.246	26.780	26.917
	339.759	93.165	26.778	26.939
	340.790	93.207	26.783	26.895
	341.817	93.195	26.807	26.924
	342.851	93.218	26.789	26.931
	343.879	93.194	26.797	26.933
	344.915	93.245	26.806	26.944
	345.947	93.276	26.819	26.950
	346.979	93.266	26.818	26.980
	348.011	93.360	26.824	26.969
	349.039	93.290	26.833	26.970
	350.065	93.269	26.829	26.949
	351.104	93.331	26.828	26.985
	352.134	93.218	26.853	26.970
	353.160	93.307	26.840	26.981
	354.193	93.165	26.850	26.989
	355.221	93.104	26.853	26.988
	356.253	93.176	26.888	26.981
	357.294	93.054	26.865	26.985
	358.325	93.185	26.870	27.007
	359.373	93.184	26.857	26.991
	360.406	93.222	26.851	26.984
	361.439	93.204	26.870	26.982
	362.472	93.135	26.861	26.985
	363.507	93.240	26.889	27.009
	364.551	93.197	26.867	26.993
	365.590	93.141	26.856	27.006
	366.625	93.187	26.867	27.029
	367.660	93.312	26.891	27.009
	368.694	93.182	26.891	27.016
	369.720	93.245	26.865	27.013
	370.754	93.182	26.876	27.023
	371.786	93.094	26.909	27.006
	372.817	93.055	26.894	27.010
	373.857	93.140	26.884	27.018
	374.889	93.187	26.897	27.019
	375.929	93.252	26.905	27.026
	376.963	93.185	26.917	27.028
	377.996	93.219	26.907	27.046
	379.031	93.139	26.894	27.018
	380.066	93.093	26.897	27.046
	381.090	93.074	26.925	27.049
	382.125	93.177	26.918	27.025
	383.159	93.110	26.906	27.046
	384.188	93.068	26.923	27.004
	385.226	93.148	26.899	27.057
	386.261	93.285	26.901	27.039
	387.288	93.232	26.920	27.038
	388.320	93.284	26.915	27.034
	389.361	93.270	26.912	27.038
	390.392	93.113	26.909	27.044
	391.421	93.206	26.911	27.060
	392.451	93.148	26.917	27.041
	393.488	93.212	26.905	27.035
	394.522	93.178	26.923	27.026
	395.552	93.146	26.893	27.039
	396.620	93.300	26.921	27.058
	397.659	93.313	26.927	27.040
	398.692	93.183	26.926	27.045
	399.718	93.261	26.909	27.036
	400.756	93.191	26.939	27.052
	401.786	93.172	26.913	27.048
	402.817	93.106	26.914	27.042
	403.859	93.169	26.910	27.025
	404.886	93.247	26.911	27.055
	405.916	93.161	26.907	27.051
	406.953	93.173	26.927	27.053
	407.993	93.323	26.933	27.043
	409.025	93.163	26.914	27.048
	410.089	93.111	26.905	27.039
	411.147	93.225	26.921	27.033
	412.179	93.169	26.926	27.048
	413.214	93.225	26.906	27.057
	414.242	93.162	26.920	27.039
	415.275	93.136	26.923	27.049
	416.310	93.232	26.914	27.044
	417.344	93.162	26.919	27.046
	418.378	93.179	26.908	27.017
	419.429	93.090	26.918	27.054
	420.455	93.171	26.931	27.057
	421.484	93.169	26.938	27.042
	422.514	93.147	26.914	27.043
	423.546	93.216	26.928	27.066
	424.573	93.163	26.916	27.062
	425.622	93.210	26.915	27.035
	426.648	93.104	26.931	27.043
	427.678	93.164	26.927	27.068
	428.707	93.097	26.913	27.053
	429.736	93.044	26.879	27.042
	430.762	93.162	26.917	27.050
	431.789	93.161	26.926	27.051
	432.825	93.129	26.922	27.051
	433.860	93.213	26.937	27.059
	434.888	93.177	26.911	27.049
	435.917	93.115	26.925	27.029
	436.944	93.133	26.933	27.057
	437.971	93.223	26.939	27.050
	439.010	93.200	26.927	27.034
	440.044	93.247	26.924	27.059
	441.072	93.165	26.933	27.057
	442.125	93.113	26.916	27.050
	443.152	93.167	26.906	27.037
	444.184	93.110	26.907	27.054
	445.217	93.222	26.921	27.039
	446.248	93.133	26.943	27.046
	447.281	93.134	26.922	27.064
	448.334	93.071	26.935	27.045
	449.373	93.221	26.911	27.047
	450.407	93.232	26.895	27.059
	451.438	93.154	26.922	27.043
	452.472	93.170	26.917	27.057
	453.503	93.144	26.930	27.049
	454.536	93.100	26.904	27.031
	455.569	93.114	26.913	27.053
